 -- Build Atom Typing Predictor --
Definitions from:  TrainedModels/top_all36_cgenff-sub.rtf
 Atomic types: 158
  H : 25  ['HGA1', 'HGA2', 'HGA3', 'HGA4', 'HGA5', 'HGA6', 'HGA7', 'HGAAM0', 'HGAAM1', 'HGAAM2', 'HGP1', 'HGP2', 'HGP3', 'HGP4', 'HGP5', 'HGPAM1', 'HGPAM2', 'HGPAM3', 'HGR51', 'HGR52', 'HGR53', 'HGR61', 'HGR62', 'HGR63', 'HGR71']
  BR: 4   ['BRGA1', 'BRGA2', 'BRGA3', 'BRGR1']
  B : 1   ['BG201']
  C : 58  ['CG1T1', 'CG1T2', 'CG1N1', 'CG2D1', 'CG2D2', 'CG2D1O', 'CG2D2O', 'CG2DC1', 'CG2DC2', 'CG2DC3', 'CG2N1', 'CG2N2', 'CG2O1', 'CG2O2', 'CG2O3', 'CG2O4', 'CG2O5', 'CG2O6', 'CG2O7', 'CG2R51', 'CG2R52', 'CG2R53', 'CG2R57', 'CG25C1', 'CG25C2', 'CG251O', 'CG252O', 'CG2R61', 'CG2R62', 'CG2R63', 'CG2R64', 'CG2R66', 'CG2R67', 'CG2RC0', 'CG2R71', 'CG2RC7', 'CG301', 'CG302', 'CG311', 'CG312', 'CG314', 'CG321', 'CG322', 'CG323', 'CG324', 'CG331', 'CG334', 'CG3AM0', 'CG3AM1', 'CG3AM2', 'CG3C31', 'CG3C41', 'CG3C50', 'CG3C51', 'CG3C52', 'CG3C53', 'CG3C54', 'CG3RC1']
  N : 29  ['NG1T1', 'NG2D1', 'NG2S0', 'NG2S1', 'NG2S2', 'NG2S3', 'NG2O1', 'NG2P1', 'NG2R43', 'NG2R50', 'NG2R51', 'NG2R52', 'NG2R53', 'NG2R57', 'NG2R60', 'NG2R61', 'NG2R62', 'NG2R67', 'NG2RC0', 'NG301', 'NG311', 'NG321', 'NG331', 'NG3C51', 'NG3N1', 'NG3P0', 'NG3P1', 'NG3P2', 'NG3P3']
  O : 19  ['OG2D1', 'OG2D2', 'OG2D3', 'OG2D4', 'OG2D5', 'OG2N1', 'OG2P1', 'OG2R50', 'OG3R60', 'OG301', 'OG302', 'OG303', 'OG304', 'OG311', 'OG312', 'OG3C31', 'OG3C51', 'OG3C61', 'OG2S1']
  F : 5   ['FGA1', 'FGA2', 'FGA3', 'FGP1', 'FGR1']
  P : 3   ['PG0', 'PG1', 'PG2']
  S : 10  ['SG2D1', 'SG2R50', 'SG311', 'SG301', 'SG302', 'SG3O1', 'SG3O2', 'SG3O3', 'SG2P1', 'SG2P2']
  CL: 3   ['CLGA1', 'CLGA3', 'CLGR1']
  I : 1   ['IGR1']
 Residue names: 726
Net parameters:   To be trained
>>> Training of the Model >>>
Start at:  Wed Mar  2 08:01:25 2022
PID:       1082477
# of all graphs/labels:      726
# of training graphs/labels: 580
# of test graphs/labels:     146
# of parameters:             17070
Learning rate:               5E-03
Maximum epochs:              12000
Output frequency:            1
Params filename prefix:      TrainedModels/top_all36_cgenff-sub
Device:                      cuda:0
----------------------------------------------------------------------------------------------------
     Epoch    TrainingLoss        TestLoss         Time(s)   SavePrefix
----------------------------------------------------------------------------------------------------
         0          0.0741          0.0732         14.2384   TrainedModels/top_all36_cgenff-sub-0
         1          0.0698          0.0678         13.9092   TrainedModels/top_all36_cgenff-sub-1
         2          0.0918          0.0906         14.1241   TrainedModels/top_all36_cgenff-sub-2
         3          0.1081          0.1150         14.2566   TrainedModels/top_all36_cgenff-sub-3
         4          0.2206          0.2319         14.2214   TrainedModels/top_all36_cgenff-sub-4
         5          0.2221          0.2389         14.0892   TrainedModels/top_all36_cgenff-sub-5
         6          0.2297          0.2506         13.9775   TrainedModels/top_all36_cgenff-sub-6
         7          0.2924          0.3216         14.3497   TrainedModels/top_all36_cgenff-sub-7
         8          0.2949          0.3112         14.2606   TrainedModels/top_all36_cgenff-sub-8
         9          0.3055          0.3165         14.3746   TrainedModels/top_all36_cgenff-sub-9
        10          0.3608          0.3783         14.2692   TrainedModels/top_all36_cgenff-sub-10
        11          0.3870          0.4068         14.3177   TrainedModels/top_all36_cgenff-sub-11
        12          0.3784          0.3755         14.1935   TrainedModels/top_all36_cgenff-sub-12
        13          0.3561          0.3454         14.1903   TrainedModels/top_all36_cgenff-sub-13
        14          0.3426          0.3349         14.1057   TrainedModels/top_all36_cgenff-sub-14
        15          0.3368          0.3270         14.1843   TrainedModels/top_all36_cgenff-sub-15
        16          0.3222          0.3089         14.3947   TrainedModels/top_all36_cgenff-sub-16
        17          0.3265          0.3172         14.2944   TrainedModels/top_all36_cgenff-sub-17
        18          0.3379          0.3305         14.2769   TrainedModels/top_all36_cgenff-sub-18
        19          0.3430          0.3343         14.1147   TrainedModels/top_all36_cgenff-sub-19
        20          0.3554          0.3447         13.8478   TrainedModels/top_all36_cgenff-sub-20
        21          0.3638          0.3514         13.8130   TrainedModels/top_all36_cgenff-sub-21
        22          0.3725          0.3587         13.4557   TrainedModels/top_all36_cgenff-sub-22
        23          0.3950          0.3853         13.4982   TrainedModels/top_all36_cgenff-sub-23
        24          0.4039          0.4062         13.4979   TrainedModels/top_all36_cgenff-sub-24
        25          0.4376          0.4417         13.5600   TrainedModels/top_all36_cgenff-sub-25
        26          0.4199          0.4306         13.5105   TrainedModels/top_all36_cgenff-sub-26
        27          0.4185          0.4347         13.4451   TrainedModels/top_all36_cgenff-sub-27
        28          0.4198          0.4373         13.5214   TrainedModels/top_all36_cgenff-sub-28
        29          0.4201          0.4341         13.5374   TrainedModels/top_all36_cgenff-sub-29
        30          0.4242          0.4366         13.5095   TrainedModels/top_all36_cgenff-sub-30
        31          0.4303          0.4357         13.5024   TrainedModels/top_all36_cgenff-sub-31
        32          0.4310          0.4357         13.4957   TrainedModels/top_all36_cgenff-sub-32
        33          0.4303          0.4297         13.4858   TrainedModels/top_all36_cgenff-sub-33
        34          0.4314          0.4274         13.4928   TrainedModels/top_all36_cgenff-sub-34
        35          0.4431          0.4354         13.4957   TrainedModels/top_all36_cgenff-sub-35
        36          0.4659          0.4585         13.5344   TrainedModels/top_all36_cgenff-sub-36
        37          0.4691          0.4629         13.4377   TrainedModels/top_all36_cgenff-sub-37
        38          0.4713          0.4661         13.4852   TrainedModels/top_all36_cgenff-sub-38
        39          0.4780          0.4734         13.4864   TrainedModels/top_all36_cgenff-sub-39
        40          0.4808          0.4740         13.5562   TrainedModels/top_all36_cgenff-sub-40
        41          0.4840          0.4775         13.5147   TrainedModels/top_all36_cgenff-sub-41
        42          0.4889          0.4838         13.4284   TrainedModels/top_all36_cgenff-sub-42
        43          0.4912          0.4861         13.4900   TrainedModels/top_all36_cgenff-sub-43
        44          0.4952          0.4899         13.5596   TrainedModels/top_all36_cgenff-sub-44
        45          0.4948          0.4921         13.5239   TrainedModels/top_all36_cgenff-sub-45
        46          0.4969          0.4933         13.4882   TrainedModels/top_all36_cgenff-sub-46
